workbook_name,workbook_type,sheet_name,source_section,source_label,budget_month,market_group,region,company_group,currency_code,budget_amount_raw,budget_amount_report_k,load_ts,budget_amount_native,fx_rate_to_eur,budget_amount_eur_compare
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce EU (incl. UK),2026-11-01,eCommerce,eCommerce EU,Company 3,EUR,90.0,90,2026-03-26T10:51:30+00:00,90.0,1.0,90.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce EU (incl. UK),2026-12-01,eCommerce,eCommerce EU,Company 3,EUR,80.0,80,2026-03-26T10:51:30+00:00,80.0,1.0,80.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce USA,2026-01-01,eCommerce,eCommerce USA,Company 3,EUR,31.0,31,2026-03-26T10:51:30+00:00,31.0,1.0,31.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce USA,2026-02-01,eCommerce,eCommerce USA,Company 3,EUR,31.0,31,2026-03-26T10:51:30+00:00,31.0,1.0,31.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce USA,2026-03-01,eCommerce,eCommerce USA,Company 3,EUR,34.0,34,2026-03-26T10:51:30+00:00,34.0,1.0,34.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce USA,2026-04-01,eCommerce,eCommerce USA,Company 3,EUR,32.0,32,2026-03-26T10:51:30+00:00,32.0,1.0,32.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce USA,2026-05-01,eCommerce,eCommerce USA,Company 3,EUR,34.0,34,2026-03-26T10:51:30+00:00,34.0,1.0,34.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce USA,2026-06-01,eCommerce,eCommerce USA,Company 3,EUR,33.0,33,2026-03-26T10:51:30+00:00,33.0,1.0,33.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce USA,2026-07-01,eCommerce,eCommerce USA,Company 3,EUR,34.0,34,2026-03-26T10:51:30+00:00,34.0,1.0,34.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce USA,2026-08-01,eCommerce,eCommerce USA,Company 3,EUR,31.0,31,2026-03-26T10:51:30+00:00,31.0,1.0,31.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce USA,2026-09-01,eCommerce,eCommerce USA,Company 3,EUR,35.0,35,2026-03-26T10:51:30+00:00,35.0,1.0,35.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce USA,2026-10-01,eCommerce,eCommerce USA,Company 3,EUR,35.0,35,2026-03-26T10:51:30+00:00,35.0,1.0,35.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce USA,2026-11-01,eCommerce,eCommerce USA,Company 3,EUR,36.0,36,2026-03-26T10:51:30+00:00,36.0,1.0,36.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce USA,2026-12-01,eCommerce,eCommerce USA,Company 3,EUR,40.0,40,2026-03-26T10:51:30+00:00,40.0,1.0,40.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Amazon,2026-01-01,eCommerce,Amazon,Company 3,EUR,6.0,6,2026-03-26T10:51:30+00:00,6.0,1.0,6.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Amazon,2026-02-01,eCommerce,Amazon,Company 3,EUR,11.0,11,2026-03-26T10:51:30+00:00,11.0,1.0,11.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Amazon,2026-03-01,eCommerce,Amazon,Company 3,EUR,9.0,9,2026-03-26T10:51:30+00:00,9.0,1.0,9.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Amazon,2026-04-01,eCommerce,Amazon,Company 3,EUR,4.0,4,2026-03-26T10:51:30+00:00,4.0,1.0,4.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Amazon,2026-05-01,eCommerce,Amazon,Company 3,EUR,10.0,10,2026-03-26T10:51:30+00:00,10.0,1.0,10.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Amazon,2026-06-01,eCommerce,Amazon,Company 3,EUR,8.0,8,2026-03-26T10:51:30+00:00,8.0,1.0,8.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Amazon,2026-07-01,eCommerce,Amazon,Company 3,EUR,10.0,10,2026-03-26T10:51:30+00:00,10.0,1.0,10.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Amazon,2026-08-01,eCommerce,Amazon,Company 3,EUR,12.0,12,2026-03-26T10:51:30+00:00,12.0,1.0,12.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Amazon,2026-09-01,eCommerce,Amazon,Company 3,EUR,10.0,10,2026-03-26T10:51:30+00:00,10.0,1.0,10.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Amazon,2026-10-01,eCommerce,Amazon,Company 3,EUR,10.0,10,2026-03-26T10:51:30+00:00,10.0,1.0,10.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Amazon,2026-11-01,eCommerce,Amazon,Company 3,EUR,11.0,11,2026-03-26T10:51:30+00:00,11.0,1.0,11.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Amazon,2026-12-01,eCommerce,Amazon,Company 3,EUR,11.0,11,2026-03-26T10:51:30+00:00,11.0,1.0,11.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Global eTailers,2026-01-01,eCommerce,Global eTailers,Company 3,EUR,2.9150920666666664,3,2026-03-26T10:51:30+00:00,2.9150920666666664,1.0,2.9150920666666664
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Global eTailers,2026-02-01,eCommerce,Global eTailers,Company 3,EUR,2.9150920666666664,3,2026-03-26T10:51:30+00:00,2.9150920666666664,1.0,2.9150920666666664
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Global eTailers,2026-03-01,eCommerce,Global eTailers,Company 3,EUR,2.9150920666666664,3,2026-03-26T10:51:30+00:00,2.9150920666666664,1.0,2.9150920666666664
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Global eTailers,2026-04-01,eCommerce,Global eTailers,Company 3,EUR,2.9150920666666664,3,2026-03-26T10:51:30+00:00,2.9150920666666664,1.0,2.9150920666666664
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Global eTailers,2026-05-01,eCommerce,Global eTailers,Company 3,EUR,2.9150920666666664,3,2026-03-26T10:51:30+00:00,2.9150920666666664,1.0,2.9150920666666664
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Global eTailers,2026-06-01,eCommerce,Global eTailers,Company 3,EUR,2.9150920666666664,3,2026-03-26T10:51:30+00:00,2.9150920666666664,1.0,2.9150920666666664
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Global eTailers,2026-07-01,eCommerce,Global eTailers,Company 3,EUR,2.9150920666666664,3,2026-03-26T10:51:30+00:00,2.9150920666666664,1.0,2.9150920666666664
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Global eTailers,2026-08-01,eCommerce,Global eTailers,Company 3,EUR,2.9150920666666664,3,2026-03-26T10:51:30+00:00,2.9150920666666664,1.0,2.9150920666666664
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Global eTailers,2026-09-01,eCommerce,Global eTailers,Company 3,EUR,2.9150920666666664,3,2026-03-26T10:51:30+00:00,2.9150920666666664,1.0,2.9150920666666664
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Global eTailers,2026-10-01,eCommerce,Global eTailers,Company 3,EUR,2.9150920666666664,3,2026-03-26T10:51:30+00:00,2.9150920666666664,1.0,2.9150920666666664
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Global eTailers,2026-11-01,eCommerce,Global eTailers,Company 3,EUR,2.9150920666666664,3,2026-03-26T10:51:30+00:00,2.9150920666666664,1.0,2.9150920666666664
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Global eTailers,2026-12-01,eCommerce,Global eTailers,Company 3,EUR,2.9150920666666664,3,2026-03-26T10:51:30+00:00,2.9150920666666664,1.0,2.9150920666666664
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Retail USA,2026-01-01,USA,Retail,Company 1,EUR,1.6,2,2026-03-26T10:51:30+00:00,1.6,1.0,1.6
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Retail USA,2026-02-01,USA,Retail,Company 1,EUR,1.6,2,2026-03-26T10:51:30+00:00,1.6,1.0,1.6
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Retail USA,2026-03-01,USA,Retail,Company 1,EUR,1.8,2,2026-03-26T10:51:30+00:00,1.8,1.0,1.8
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Retail USA,2026-04-01,USA,Retail,Company 1,EUR,1.8,2,2026-03-26T10:51:30+00:00,1.8,1.0,1.8
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Retail USA,2026-05-01,USA,Retail,Company 1,EUR,1.8,2,2026-03-26T10:51:30+00:00,1.8,1.0,1.8
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Retail USA,2026-06-01,USA,Retail,Company 1,EUR,1.6,2,2026-03-26T10:51:30+00:00,1.6,1.0,1.6
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Retail USA,2026-07-01,USA,Retail,Company 1,EUR,1.6,2,2026-03-26T10:51:30+00:00,1.6,1.0,1.6
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Retail USA,2026-08-01,USA,Retail,Company 1,EUR,1.2,1,2026-03-26T10:51:30+00:00,1.2,1.0,1.2
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Retail USA,2026-09-01,USA,Retail,Company 1,EUR,1.8,2,2026-03-26T10:51:30+00:00,1.8,1.0,1.8
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Retail USA,2026-10-01,USA,Retail,Company 1,EUR,2.0,2,2026-03-26T10:51:30+00:00,2.0,1.0,2.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Retail USA,2026-11-01,USA,Retail,Company 1,EUR,1.8,2,2026-03-26T10:51:30+00:00,1.8,1.0,1.8
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,Retail USA,2026-12-01,USA,Retail,Company 1,EUR,1.4000000000000001,1,2026-03-26T10:51:30+00:00,1.4000000000000001,1.0,1.4000000000000001
